ID,Outcome,SUT,Confidence,dsa,lsa,conf*(1-norm_dsa)
0,Pass,0,0.9999504,0.21735837,0,0.98255557
1,Pass,0,0.9996092,0.32438794,0,0.9735353
2,Pass,0,0.9856668,0.039820895,0,0.9827259
3,Pass,0,0.9998155,0.31823906,0,0.9742353
4,Pass,0,0.98678166,0.31046453,0,0.9621577
5,Pass,0,0.99139386,0.03319791,0,0.9889689
6,Pass,0,0.9505129,0.989264,0,0.87441766
7,Pass,0,0.87742853,0.5205619,0,0.84056866
8,Pass,0,0.97452354,3.5472796,0,0.69414306
9,Pass,0,0.96160805,0.73319215,0,0.90461373
10,Pass,0,0.9942267,0.44683707,0,0.9584105
11,Pass,0,0.9871503,1.0186541,0,0.9057668
12,Pass,0,0.9287042,0.3985457,0,0.89888906
13,Pass,0,0.99884254,0.657998,0,0.9457384
14,Pass,0,0.99855095,0.14276962,0,0.98722667
15,Pass,0,0.9867469,0.84927,0,0.9189646
16,Pass,0,0.959302,0.7114746,0,0.90413564
17,Pass,0,0.9999865,0.7579054,0,0.9387114
18,Pass,0,0.37319684,1.8348413,0,0.3177029
19,Pass,0,0.9955057,0.6254241,0,0.9452113
20,Pass,0,0.8352482,0.5634039,0,0.7972554
21,Pass,0,0.9577399,0.74920964,0,0.8997296
22,Pass,0,0.89100754,0.74333894,0,0.8374638
23,Pass,0,0.9998031,1.3782964,0,0.8881874
24,Pass,0,0.9376908,1.0733241,0,0.85622346
25,Pass,0,0.99992895,0.17331187,0,0.9861098
26,Pass,0,0.99249107,0.36418036,0,0.96339685
27,Pass,0,0.9974783,0.5919565,0,0.94979423
28,Pass,0,0.99991393,0.51923585,0,0.9580162
29,Pass,0,0.9836384,0.023548946,0,0.98200285
30,Pass,0,0.9937675,1.3657646,0,0.88383657
31,Pass,0,0.9616279,0.027825065,0,0.9596952
32,Pass,0,0.99546033,0.6581266,0,0.94252557
33,Pass,0,0.34471473,0.8804729,0,0.3201622
