ID,Outcome,SUT,Confidence,dsa,lsa,conf*(1-norm_dsa)
0,Pass,0,0.99939144,2.733349,0,0.84925836
1,Pass,0,0.36087143,1.000057,0,0.3411572
2,Pass,0,1.0,0.056711853,0,0.99739814
3,Pass,0,0.76193076,1.8333492,0,0.6852901
4,Pass,0,0.9998202,0.19987027,0,0.9893247
5,Pass,0,0.99966156,0.2724214,0,0.98516774
6,Pass,0,0.9999999,0.10735712,0,0.9946048
7,Pass,0,0.99085313,0.25450468,0,0.9774661
8,Pass,0,0.9998332,0.2591212,0,0.98607033
9,Pass,0,0.9816793,0.577703,0,0.9509177
10,Pass,0,0.41916862,1.4337759,0,0.3862429
11,Pass,0,0.73612404,0.97304684,0,0.6970065
12,Pass,0,0.95756924,0.5479294,0,0.92913556
13,Pass,0,0.9168823,2.8209057,0,0.77471656
14,Pass,0,0.9998759,0.24080119,0,0.9871227
15,Pass,0,0.9997806,0.263268,0,0.9857898
16,Pass,0,0.5098926,1.0898142,0,0.4795133
17,Pass,0,0.9995234,0.23211473,0,0.98725355
18,Pass,0,0.9952304,0.0637748,0,0.99225324
19,Pass,0,0.9785195,0.4062359,0,0.9571106
20,Pass,0,0.9999958,0.08767361,0,0.99568635
21,Pass,0,0.9985171,0.3646859,0,0.9789588
22,Pass,0,0.99973446,7.14957,0,0.60604984
23,Pass,0,0.7268121,2.4688606,0,0.62822926
24,Pass,0,0.99872106,0.17036591,0,0.98986226
25,Pass,0,0.9999423,2.2425263,0,0.8767949
26,Pass,0,0.36457738,0.88662255,0,0.34694156
27,Pass,0,0.9999225,0.02169534,0,0.99925196
28,Pass,0,0.9999387,8.135341,0,0.55180955
29,Pass,0,0.99977547,0.09422836,0,0.99510556
30,Pass,0,0.99969876,3.6468873,0,0.79915094
31,Pass,0,0.99997497,0.15002418,0,0.9922269
32,Pass,0,0.48070523,3.132291,0,0.3979148
33,Pass,0,0.99703836,0.19170904,0,0.98702085
34,Pass,0,0.9999958,0.12829976,0,0.99344575
35,Pass,0,0.9999995,0.055138756,0,0.99748445
36,Pass,0,0.9999347,0.20244391,0,0.9892961
37,Pass,0,0.9999963,4.606318,0,0.74647427
38,Pass,0,0.99909675,3.243582,0,0.8208929
39,Pass,0,0.99999404,0.056655053,0,0.99739534
40,Pass,0,0.9999813,6.02974,0,0.6679596
41,Pass,0,0.9999994,0.13017482,0,0.9933459
42,Pass,0,0.99990904,0.1830736,0,0.9903389
43,Pass,0,0.98221105,3.3407924,0,0.801753
44,Pass,0,0.9999707,0.0669841,0,0.9968024
45,Pass,0,0.9999893,2.55421,0,0.8596462
46,Pass,0,0.9995902,0.26670092,0,0.98541284
47,Pass,0,0.99999166,0.06373211,0,0.9970026
48,Pass,0,0.9993998,0.15416731,0,0.99142784
49,Pass,0,0.99967265,3.155515,0,0.8262215
50,Pass,0,0.9540814,0.31461897,0,0.93802804
51,Pass,0,0.99936265,0.06788068,0,0.99614686
52,Pass,0,0.99989283,0.20203748,0,0.98927706
53,Pass,0,0.999997,0.0693364,0,0.9966989
54,Pass,0,0.7275306,0.9864141,0,0.6883334
55,Pass,0,0.999015,3.2081714,0,0.8227767
56,Pass,0,0.9999951,0.10227537,0,0.9948803
57,Pass,0,0.99972147,3.3846653,0,0.81362724
58,Pass,0,0.99928844,0.14591649,0,0.9917721
59,Pass,0,0.9999924,0.083353154,0,0.99592125
60,Pass,0,0.9999769,6.793905,0,0.6258121
61,Pass,0,0.39604676,1.9836369,0,0.3529267
62,Pass,0,0.99994767,0.098483,0,0.99504226
63,Pass,0,0.99999046,6.0243015,0,0.66826564
64,Pass,0,0.5468818,1.9161669,0,0.4893744
65,Pass,0,0.99999595,2.748196,0,0.8489532
66,Pass,0,0.999355,0.5503966,0,0.9695446
67,Pass,0,0.99998176,0.07840236,0,0.9961837
68,Pass,0,0.9997819,0.14880498,0,0.99210256
69,Pass,0,0.99750656,2.4945412,0,0.86079454
70,Pass,0,0.9999958,0.074436426,0,0.99641645
71,Pass,0,0.9992111,1.9259305,0,0.89360094
72,Pass,0,0.9720435,0.90362114,0,0.92411125
73,Pass,0,0.999987,0.11678327,0,0.99407214
74,Pass,0,0.9999994,0.070895694,0,0.9966153
75,Pass,0,0.99999654,0.15145521,0,0.9921694
76,Pass,0,0.81499326,0.43463373,0,0.7958856
77,Pass,0,0.9973695,3.1210387,0,0.82621443
78,Pass,0,0.99999094,0.21351242,0,0.9887413
79,Pass,0,0.88831073,3.6076941,0,0.71202844
80,Pass,0,0.9999999,0.09216538,0,0.9954427
81,Pass,0,0.9994916,3.4451733,0,0.81010467
82,Pass,0,0.9986123,1.7299036,0,0.90386176
83,Pass,0,0.59045976,1.2483627,0,0.55011714
84,Pass,0,0.92046964,1.1713653,0,0.8614882
85,Pass,0,0.9999875,0.08504958,0,0.9958228
86,Pass,0,0.99994075,1.5417483,0,0.9154408
87,Pass,0,0.9998908,9.015722,0,0.5032333
88,Pass,0,0.99919814,3.4544103,0,0.8093578
89,Pass,0,0.7226723,1.0890863,0,0.6796446
90,Pass,0,0.9999964,0.16922693,0,0.9911892
91,Pass,0,0.99268746,0.64321935,0,0.957994
92,Pass,0,1.0,0.06788687,0,0.9967818
93,Pass,0,0.99582183,0.41388515,0,0.9736142
94,Pass,0,0.98808354,4.1629677,0,0.76174206
95,Pass,0,0.5170699,2.1492455,0,0.45605052
96,Pass,0,0.9999529,0.09992052,0,0.99496824
97,Pass,0,0.9989023,3.5129933,0,0.80589074
98,Pass,0,0.46613613,1.5401037,0,0.42678759
99,Pass,0,0.61958814,1.4089166,0,0.57176894
100,Pass,0,0.9998839,0.26682788,0,0.9856953
101,Pass,0,0.9732431,2.5950305,0,0.83446264
102,Pass,0,0.9151504,3.5156956,0,0.7381853
103,Pass,0,0.99999917,0.05087286,0,0.99771935
104,Pass,0,0.56309617,1.218168,0,0.52556086
105,Pass,0,0.9991615,3.2447133,0,0.8208837
106,Pass,0,0.9865969,1.0632722,0,0.92925984
107,Pass,0,0.999363,0.49683222,0,0.9725046
108,Pass,0,0.9764213,2.5435967,0,0.8399574
109,Pass,0,0.90088946,0.28213182,0,0.88734525
110,Pass,0,0.9619832,0.49611223,0,0.9361676
111,Pass,0,0.9919863,3.833946,0,0.7827516
112,Pass,0,0.9378997,1.0935092,0,0.8818287
113,Pass,0,0.9980812,6.429695,0,0.64467424
114,Pass,0,0.7482159,0.657408,0,0.72148097
115,Pass,0,0.95029956,2.4553561,0,0.8221112
116,Pass,0,0.99903476,0.20106809,0,0.9884815
117,Pass,0,0.9999769,3.7553754,0,0.79339004
118,Pass,0,0.74996364,2.3826191,0,0.65180767
119,Pass,0,0.9994104,5.3945627,0,0.70258904
120,Pass,0,0.9999895,0.13441475,0,0.99310225
121,Pass,0,0.63051593,1.4058574,0,0.5819597
122,Pass,0,0.54569286,1.6265016,0,0.49702832
