ID,Outcome,SUT,Confidence,dsa,lsa,conf*(1-norm_dsa)
0,Pass,0,0.999863,0.04311717,0,0.9929076
1,Pass,0,0.7923901,0.6422522,0,0.6885328
2,Pass,0,0.3816537,1.0505471,0,0.29935104
3,Pass,0,0.99992466,0.104586504,0,0.9802363
4,Pass,0,0.8926693,0.8632123,0,0.7348091
5,Pass,0,0.99977225,0.19082251,0,0.9622269
6,Pass,0,0.998242,0.38998276,0,0.91957027
7,Pass,0,0.9843401,0.52595204,0,0.87903875
8,Pass,0,0.6390751,1.0628042,0,0.49963754
9,Pass,0,0.7453649,1.2125342,0,0.5596175
10,Pass,0,0.9275,0.90954727,0,0.7545778
11,Pass,0,0.99993074,0.074643984,0,0.9864445
12,Pass,0,0.9999771,0.056069694,0,0.99033785
13,Pass,0,0.9963308,0.5083737,0,0.8933748
14,Pass,0,0.9984925,0.38517097,0,0.9207963
15,Pass,0,0.9994931,0.16671409,0,0.96694994
16,Pass,0,0.9999987,0.24134488,0,0.9519791
17,Pass,0,0.99978405,0.112701066,0,0.9784178
18,Pass,0,0.9999689,0.2866431,0,0.9425674
19,Pass,0,0.99983716,0.1941366,0,0.961603
20,Pass,0,0.99964666,0.14152205,0,0.9723152
21,Pass,0,0.7799023,0.6886832,0,0.67018044
22,Pass,0,0.59147066,3.006066,0,0.22432296
23,Pass,0,0.99180627,0.51761055,0,0.88742006
24,Pass,0,0.9999994,0.07267272,0,0.98692054
25,Pass,0,0.99413824,0.44952336,0,0.9035283
26,Pass,0,0.89932925,0.9330597,0,0.7272788
27,Pass,0,0.9999291,0.12408973,0,0.97620076
28,Pass,0,0.25770292,0.85914284,0,0.2123478
29,Pass,0,0.6976621,0.9144406,0,0.5668835
30,Pass,0,0.99734676,0.55803007,0,0.88402665
31,Pass,0,0.9936939,0.31185725,0,0.9314624
32,Pass,0,0.95608026,0.47139543,0,0.8646072
33,Pass,0,0.9997906,0.15592644,0,0.96947193
34,Pass,0,0.9998524,0.27617863,0,0.9446251
35,Pass,0,0.9592282,0.4730764,0,0.86711997
36,Pass,0,0.96428716,0.20887591,0,0.9244683
37,Pass,0,0.99881446,0.37782913,0,0.92261225
38,Pass,0,0.99994636,0.31983453,0,0.9356709
39,Pass,0,0.9999733,0.10355356,0,0.98049796
40,Pass,0,0.99967015,0.29060698,0,0.94146496
41,Pass,0,0.9999993,0.119607575,0,0.97719777
42,Pass,0,0.96845365,0.73024815,0,0.82386655
