ID,Outcome,SUT,Confidence,dsa,lsa,conf*(1-norm_dsa)
0,Pass,0,0.9999566,0.2891691,0,0.94122595
1,Pass,0,0.9174349,0.88311774,0,0.7488086
2,Pass,0,0.9996014,0.4125421,0,0.9149231
3,Pass,0,0.9999305,0.101230435,0,0.9807731
4,Pass,0,0.99924755,0.061781276,0,0.98840386
5,Pass,0,0.9999807,0.09680658,0,0.9817539
6,Pass,0,0.99998367,0.040026005,0,0.993713
7,Pass,0,0.9999583,0.015217795,0,0.99891144
8,Pass,0,0.9999782,0.048602942,0,0.9919015
9,Pass,0,0.94823474,0.3890739,0,0.87259376
10,Pass,0,0.84140563,1.0862974,0,0.6507551
11,Pass,0,0.9999989,0.12093721,0,0.97669053
12,Pass,0,0.4944779,1.2580587,0,0.364552
13,Pass,0,0.99804735,0.18360597,0,0.961614
14,Pass,0,0.9999237,0.13462661,0,0.97373474
15,Pass,0,0.99999475,0.22687617,0,0.9543789
16,Pass,0,0.7314598,0.78179127,0,0.6126229
17,Pass,0,0.9998759,0.13029006,0,0.9746012
18,Pass,0,0.99994314,0.3653229,0,0.92517835
19,Pass,0,0.9961696,0.1771644,0,0.961156
20,Pass,0,0.55023646,0.83895504,0,0.45421883
21,Pass,0,0.99994755,0.21008436,0,0.9578695
22,Pass,0,0.9999615,0.16865747,0,0.9666059
23,Pass,0,0.9999236,0.5128888,0,0.89408946
24,Pass,0,0.9999685,0.11005573,0,0.9789521
25,Pass,0,0.99996245,0.13388617,0,0.97392833
26,Pass,0,0.9998683,0.039939776,0,0.99361646
27,Pass,0,0.999946,0.12846312,0,0.97505426
28,Pass,0,0.99995565,0.11149852,0,0.9786357
29,Pass,0,0.99999,0.15904687,0,0.9686571
30,Pass,0,0.85594153,0.56694376,0,0.7556041
31,Pass,0,0.99991965,0.44912165,0,0.9075124
32,Pass,0,0.99999785,0.2337548,0,0.95293343
33,Pass,0,0.9999999,0.05656081,0,0.9902473
34,Pass,0,0.9996983,0.4553241,0,0.9060058
35,Pass,0,0.99997985,0.13103877,0,0.9745449
36,Pass,0,0.9999771,0.109844714,0,0.979005
37,Pass,0,0.9999397,0.0465231,0,0.9923013
38,Pass,0,0.9999846,0.27895716,0,0.94340265
39,Pass,0,0.9968676,0.55933577,0,0.8816071
40,Pass,0,0.96152085,0.92840666,0,0.7756219
41,Pass,0,0.99969375,0.47367325,0,0.90213907
42,Pass,0,0.9999871,0.09016467,0,0.98315877
43,Pass,0,0.9994918,3.2722058,0,0.31296518
44,Pass,0,0.99992514,0.17726088,0,0.96475923
45,Pass,0,0.9999939,0.091278166,0,0.982931
46,Pass,0,0.79632074,0.52320814,0,0.710306
47,Pass,0,0.9999995,0.055138756,0,0.9905464
48,Pass,0,0.98322004,0.49148938,0,0.8835843
49,Pass,0,0.99999917,0.19483551,0,0.96112996
50,Pass,0,0.99999833,0.17346649,0,0.9656288
51,Pass,0,0.4368365,0.96175677,0,0.3493115
52,Pass,0,0.9999976,0.13064839,0,0.97464436
53,Pass,0,0.9942345,0.38396037,0,0.91599464
54,Pass,0,0.99999976,0.06518369,0,0.98843145
55,Pass,0,0.983697,0.48178142,0,0.8860238
56,Pass,0,0.99997246,0.11339094,0,0.9782537
57,Pass,0,0.99747306,0.4495654,0,0.9051987
58,Pass,0,0.999997,0.19037929,0,0.96206623
59,Pass,0,0.9768093,0.23415588,0,0.9307537
60,Pass,0,0.6908949,1.3851457,0,0.49087068
61,Pass,0,0.9999894,0.18571073,0,0.96304196
62,Pass,0,0.99991536,0.039033066,0,0.99385417
63,Pass,0,0.9996667,0.25091726,0,0.94900507
64,Pass,0,0.996813,0.45512012,0,0.9034338
65,Pass,0,0.63180995,0.49627662,0,0.5671479
66,Pass,0,0.8270236,0.86989737,0,0.67731744
67,Pass,0,0.99999297,0.12616177,0,0.9755846
68,Pass,0,0.99999404,0.09179895,0,0.98282146
69,Pass,0,0.9968875,0.34438866,0,0.9267456
70,Pass,0,0.9886263,0.30897728,0,0.9264375
71,Pass,0,0.8995425,0.18968782,0,0.865553
72,Pass,0,0.99979967,0.37032768,0,0.923992
73,Pass,0,0.9999924,0.275038,0,0.94423515
74,Pass,0,0.9719016,0.4160599,0,0.8888499
75,Pass,0,0.9999609,0.04208864,0,0.99325603
76,Pass,0,0.9451468,0.5713287,0,0.83347964
77,Pass,0,0.99999166,0.17532201,0,0.96523166
78,Pass,0,0.99993193,0.04382124,0,0.99286246
79,Pass,0,0.9998846,0.36522835,0,0.92514414
80,Pass,0,0.53073657,2.4885798,0,0.25376296
81,Pass,0,0.9999827,0.14264144,0,0.9721045
82,Pass,0,0.99919385,0.2872428,0,0.94091326
83,Pass,0,0.99628997,0.28746548,0,0.938132
84,Pass,0,0.9999999,0.058950752,0,0.98974407
85,Pass,0,0.9999831,0.038712934,0,0.9939889
86,Pass,0,0.99891675,1.424307,0,0.7014784
87,Pass,0,0.9968226,0.7940425,0,0.8323018
88,Pass,0,0.9992042,0.3809827,0,0.92119974
89,Pass,0,0.9999839,0.1376211,0,0.9731628
90,Pass,0,0.9995054,0.20293789,0,0.9589501
91,Pass,0,0.6400596,1.2930187,0,0.4671697
92,Pass,0,0.75705737,0.869809,0,0.62003046
93,Pass,0,0.9861503,0.5926352,0,0.8652142
94,Pass,0,0.99999964,0.17362525,0,0.9655967
95,Pass,0,0.9990687,0.39926994,0,0.9172276
96,Pass,0,0.99978966,0.2528838,0,0.9487078
97,Pass,0,0.8956891,0.36834696,0,0.8281489
98,Pass,0,0.99980265,0.35847518,0,0.92649
99,Pass,0,0.99993825,0.15341583,0,0.96979266
100,Pass,0,0.7352058,1.7376585,0,0.46777928
101,Pass,0,0.9997925,0.19965915,0,0.9599158
102,Pass,0,0.99998474,0.118793555,0,0.9771281
103,Pass,0,0.9999944,0.10118345,0,0.9808457
104,Pass,0,0.9911514,0.2962148,0,0.93146735
105,Pass,0,0.6635364,0.77008635,0,0.5573701
106,Pass,0,0.9999999,0.18158673,0,0.9639204
107,Pass,0,0.9235872,0.34727958,0,0.8580406
108,Pass,0,0.999949,0.14513575,0,0.9715465
109,Pass,0,0.9999509,0.034174137,0,0.99491256
110,Pass,0,0.9678252,0.71093947,0,0.8250264
111,Pass,0,0.9651088,1.0411196,0,0.75561017
112,Pass,0,0.9933308,0.47849038,0,0.89538944
113,Pass,0,0.9999579,0.016485976,0,0.99864405
114,Pass,0,0.993472,0.9578991,0,0.7952259
115,Pass,0,0.99989986,0.22006999,0,0.9557214
116,Pass,0,0.99975306,0.0807014,0,0.9849208
117,Pass,0,0.99983203,0.083551385,0,0.9843986
118,Pass,0,0.9998957,0.13967887,0,0.97264373
119,Pass,0,0.9998043,0.057241835,0,0.98991024
120,Pass,0,0.9931855,0.26659235,0,0.9395741
121,Pass,0,0.99979705,0.08403563,0,0.9842622
