ID,Outcome,SUT,Confidence,dsa,lsa,conf*(1-norm_dsa)
0,Pass,0,0.9997962,0.054538146,0,0.9854753
1,Pass,0,0.9995396,0.23664615,0,0.9288446
2,Pass,0,0.9988833,0.50461644,0,0.8453298
3,Pass,0,0.9999684,0.15555103,0,0.9543596
4,Pass,0,0.99999297,0.073313326,0,0.9798541
5,Pass,0,0.99999285,0.10684688,0,0.9694678
6,Pass,0,0.99538004,0.26822162,0,0.91524464
7,Pass,0,0.9999931,0.13806109,0,0.95980024
8,Pass,0,0.9997887,0.13167447,0,0.9615817
9,Pass,0,0.9825251,0.2930605,0,0.8958658
10,Pass,0,0.99995995,0.09586001,0,0.9728387
11,Pass,0,0.9983847,0.07604225,0,0.9774344
12,Pass,0,0.9961832,0.20243286,0,0.9362819
13,Pass,0,0.99995697,0.07825684,0,0.97828776
14,Pass,0,0.9999274,0.07911065,0,0.97799444
15,Pass,0,0.999522,0.15959913,0,0.95268035
16,Pass,0,0.99798834,0.2770102,0,0.91492635
17,Pass,0,0.99998295,0.030439045,0,0.9931234
18,Pass,0,0.9715745,0.25290933,0,0.8979634
19,Pass,0,0.9999939,0.079200916,0,0.9780315
20,Pass,0,0.99997807,0.21000677,0,0.9375028
21,Pass,0,0.9908246,0.44898245,0,0.8555832
22,Pass,0,0.9999894,0.08558281,0,0.97605044
23,Pass,0,0.99956316,0.10871721,0,0.9684722
24,Pass,0,0.99981505,0.05820127,0,0.9843595
25,Pass,0,0.7866311,0.40611362,0,0.68970543
26,Pass,0,0.9999913,0.06420681,0,0.982673
27,Pass,0,0.998654,0.14124987,0,0.95752865
28,Pass,0,0.9987379,0.12882681,0,0.961452
29,Pass,0,0.99942684,0.26103088,0,0.9211916
30,Pass,0,0.9995604,0.13695057,0,0.9597288
31,Pass,0,0.99988294,0.061341062,0,0.983454
32,Pass,0,0.9999064,0.03826691,0,0.9906231
33,Pass,0,0.9999074,0.25704145,0,0.92287
34,Pass,0,0.9706516,0.52997243,0,0.8138151
35,Pass,0,0.9992513,0.21295229,0,0.9359098
36,Pass,0,0.9687913,0.2556872,0,0.8945576
37,Pass,0,0.9999964,0.13478616,0,0.96081775
38,Pass,0,0.9999999,0.063423276,0,0.9829241
39,Pass,0,0.9998292,0.13523126,0,0.96051925
40,Pass,0,0.9999497,0.066831954,0,0.98181903
41,Pass,0,0.99974924,0.22056578,0,0.93401873
42,Pass,0,0.9999496,0.011073238,0,0.99908805
43,Pass,0,0.9999641,0.23394878,0,0.9300745
44,Pass,0,0.9999969,0.11735771,0,0.96621627
45,Pass,0,0.99999845,0.12055278,0,0.9652282
46,Pass,0,0.99986804,0.29375485,0,0.91146404
47,Pass,0,0.99870706,1.0580729,0,0.67398196
48,Pass,0,0.9999963,0.11034397,0,0.968388
49,Pass,0,0.9999995,0.11942124,0,0.9655797
50,Pass,0,0.99989724,0.2909008,0,0.91237456
51,Pass,0,0.62566674,3.2369428,0,0.0
52,Pass,0,0.9999995,0.097027935,0,0.97251546
53,Pass,0,0.9999969,0.14758864,0,0.956853
54,Pass,0,0.9999404,0.11856119,0,0.96578896
55,Pass,0,0.9999963,0.089722164,0,0.97477514
56,Pass,0,0.99000657,0.3280105,0,0.89197063
57,Pass,0,0.9999441,0.26769534,0,0.91960424
58,Pass,0,0.99996674,0.10015936,0,0.97151375
59,Pass,0,0.9999988,0.11873881,0,0.9657904
60,Pass,0,0.99990726,0.05026674,0,0.9869076
61,Pass,0,0.9999527,0.10926096,0,0.9686812
62,Pass,0,0.99999845,0.11059732,0,0.96831167
63,Pass,0,0.99977237,0.12750396,0,0.9628575
64,Pass,0,0.9999448,0.025484968,0,0.99461985
65,Pass,0,0.9997384,0.12169467,0,0.9646236
66,Pass,0,0.9999585,0.03116728,0,0.99287355
67,Pass,0,0.9999844,0.14012071,0,0.959154
68,Pass,0,0.99998677,0.053632427,0,0.9859437
69,Pass,0,0.6169385,0.2826123,0,0.5645206
70,Pass,0,0.99995744,0.06237049,0,0.9832084
71,Pass,0,0.9999994,0.08887281,0,0.9750412
72,Pass,0,0.9994547,0.25348932,0,0.92355174
73,Pass,0,0.9999064,0.03826691,0,0.9906231
74,Pass,0,1.0,0.12367104,0,0.96426386
75,Pass,0,0.99996185,0.02313863,0,0.9953635
76,Pass,0,0.99688065,0.15959679,0,0.95016354
77,Pass,0,0.99999976,0.041410662,0,0.98974186
78,Pass,0,0.99999666,0.07123154,0,0.9805025
79,Pass,0,0.99880123,0.13745229,0,0.95884466
80,Pass,0,0.99930716,0.1824645,0,0.9453985
81,Pass,0,0.9993394,0.2669362,0,0.9192831
82,Pass,0,0.9999852,0.23004308,0,0.9313038
83,Pass,0,0.9999212,0.17567876,0,0.948081
84,Pass,0,0.9997247,0.10411299,0,0.9700544
85,Pass,0,0.999025,0.236022,0,0.92855954
86,Pass,0,0.9982035,0.32337388,0,0.9007893
87,Pass,0,0.9992613,0.93232214,0,0.7132757
88,Pass,0,0.9999516,0.024269264,0,0.9950031
89,Pass,0,0.99987805,0.15115182,0,0.9556358
90,Pass,0,0.9934962,0.037028927,0,0.9846533
91,Pass,0,0.99956316,0.10871721,0,0.9684722
92,Pass,0,0.99906296,0.40111518,0,0.87750894
93,Pass,0,0.99870074,0.14572641,0,0.9561888
94,Pass,0,0.9998871,0.33090982,0,0.8999748
95,Pass,0,0.99999416,0.0363195,0,0.9913132
96,Pass,0,0.9999945,0.10666505,0,0.96952575
97,Pass,0,0.99992406,0.38456103,0,0.8833921
98,Pass,0,0.99318683,0.26058683,0,0.9155766
99,Pass,0,0.9996667,0.12263287,0,0.9642639
100,Pass,0,0.99998915,0.13612145,0,0.9603972
101,Pass,0,0.99975306,0.0807014,0,0.9773313
102,Pass,0,0.9999939,0.088936515,0,0.9750162
103,Pass,0,0.9999962,0.040711783,0,0.9899548
104,Pass,0,0.99993014,0.0874205,0,0.9754235
105,Pass,0,0.9983847,0.07604225,0,0.9774344
106,Pass,0,0.9995105,0.11391999,0,0.9668106
107,Pass,0,0.99999845,0.09816707,0,0.97216165
108,Pass,0,0.9999987,0.12743951,0,0.9630954
109,Pass,0,0.99999666,0.13874857,0,0.95959073
110,Pass,0,0.99999,0.09916514,0,0.97184426
111,Pass,0,0.96146476,0.5252901,0,0.807507
112,Pass,0,0.97540164,1.3370996,0,0.573958
113,Pass,0,0.99996245,0.26968142,0,0.919006
114,Pass,0,0.9998654,0.12512621,0,0.9636835
115,Pass,0,0.99999976,0.03598763,0,0.9914215
116,Pass,0,0.99999535,0.06938925,0,0.98107177
117,Pass,0,0.9994617,0.20412458,0,0.9388396
118,Pass,0,0.9999528,0.11949102,0,0.96551293
119,Pass,0,0.99997795,0.1099994,0,0.968477
120,Pass,0,0.9999795,0.27789137,0,0.91647893
121,Pass,0,0.9999857,0.07515833,0,0.9792755
122,Pass,0,0.9999895,0.06700243,0,0.9818053
123,Pass,0,0.9999862,0.09736086,0,0.97239935
124,Pass,0,0.99989426,0.1498761,0,0.95604634
125,Pass,0,0.9999703,0.12522326,0,0.9637545
126,Pass,0,0.9996296,0.061784074,0,0.9830677
127,Pass,0,0.9981704,0.2645574,0,0.91894317
128,Pass,0,0.9997297,0.03441622,0,0.9916404
129,Pass,0,0.99995077,0.19007124,0,0.9436515
130,Pass,0,0.9993963,0.10901399,0,0.9682187
131,Pass,0,0.9998814,0.23733714,0,0.9289482
132,Pass,0,0.9999949,0.067056626,0,0.9817939
133,Pass,0,0.99986625,0.070374094,0,0.9806402
134,Pass,0,0.9999889,0.09640037,0,0.9726995
135,Pass,0,0.99999845,0.08792085,0,0.9753352
136,Pass,0,0.94864213,0.519796,0,0.7983519
137,Pass,0,0.99747854,0.32738832,0,0.8988949
138,Pass,0,0.9999236,0.14210854,0,0.95848
139,Pass,0,0.99963486,0.053414587,0,0.9856641
140,Pass,0,0.9952897,0.32286456,0,0.8983169
141,Pass,0,0.9990107,0.07787973,0,0.9774787
142,Pass,0,0.827755,0.7793671,0,0.6300682
143,Pass,0,0.9999888,0.1429575,0,0.9582796
144,Pass,0,0.999995,0.10219176,0,0.9709117
145,Pass,0,0.99995637,0.074903026,0,0.9793259
146,Pass,0,0.9998828,0.17760625,0,0.94744766
147,Pass,0,0.958462,0.4747091,0,0.8200006
148,Pass,0,0.99415696,0.32994935,0,0.895113
149,Pass,0,0.9999974,0.053583402,0,0.9859693
150,Pass,0,0.9999325,0.024183314,0,0.9950108
151,Pass,0,0.999998,0.06279318,0,0.9831174
152,Pass,0,0.9999777,0.10933263,0,0.96868324
153,Pass,0,0.99987316,0.08107939,0,0.97733164
154,Pass,0,0.6338585,1.033767,0,0.43253407
155,Pass,0,0.999982,0.15376121,0,0.95492697
156,Pass,0,0.99896586,0.08122989,0,0.9763982
157,Pass,0,0.999716,0.062992,0,0.9827786
158,Pass,0,0.9999989,0.08917518,0,0.9749471
159,Pass,0,0.9999348,0.1482762,0,0.9565806
160,Pass,0,0.99999976,0.093958534,0,0.9734664
161,Pass,0,0.99978846,0.33275262,0,0.8993154
162,Pass,0,0.9994429,0.28775507,0,0.9129337
163,Pass,0,0.9997577,0.21791479,0,0.9348475
164,Pass,0,0.9998565,0.24194011,0,0.9274996
165,Pass,0,0.83836114,0.7148546,0,0.65489286
166,Pass,0,0.9999826,0.21047977,0,0.9373605
167,Pass,0,0.9999219,0.0840551,0,0.9764578
168,Pass,0,0.99664056,0.4009901,0,0.87541986
169,Pass,0,0.99999607,0.064004734,0,0.9827402
170,Pass,0,0.99995756,0.16260414,0,0.9521648
171,Pass,0,0.9999994,0.04779912,0,0.9877628
172,Pass,0,0.9945485,0.34598956,0,0.8905245
173,Pass,0,0.99999964,0.13224563,0,0.9616077
174,Pass,0,0.99827564,0.28741848,0,0.91197157
175,Pass,0,0.99997556,0.12676801,0,0.9632811
176,Pass,0,0.9999578,0.14499766,0,0.957618
177,Pass,0,0.999912,0.016313475,0,0.99742764
178,Pass,0,0.8585741,0.5375307,0,0.717837
179,Pass,0,0.9998741,0.031938512,0,0.9925509
180,Pass,0,0.99996257,0.10057049,0,0.9713824
181,Pass,0,0.99984,0.14822476,0,0.95650584
182,Pass,0,0.99998295,0.10414143,0,0.97029614
183,Pass,0,0.99010676,0.70577717,0,0.77621394
184,Pass,0,0.6100099,1.004022,0,0.42188016
185,Pass,0,0.99984825,0.30797747,0,0.90704155
186,Pass,0,0.9999579,0.016485976,0,0.99742
187,Pass,0,0.99990296,0.044843495,0,0.9885829
188,Pass,0,0.9999629,0.21186927,0,0.93691176
189,Pass,0,0.9990859,0.5011755,0,0.846566
190,Pass,0,0.99994624,0.14451933,0,0.9577551
191,Pass,0,0.99071854,0.15189916,0,0.94665223
192,Pass,0,0.9999368,0.03558225,0,0.9914847
193,Pass,0,0.99983966,0.07462014,0,0.9792992
194,Pass,0,0.9999945,0.10666505,0,0.96952575
195,Pass,0,0.99999976,0.08571955,0,0.9760182
196,Pass,0,1.0,0.056711853,0,0.98500293
197,Pass,0,0.9992778,0.1830183,0,0.9451993
198,Pass,0,0.99733764,0.08614911,0,0.9732872
199,Pass,0,0.6032222,0.91939884,0,0.43299627
200,Pass,0,0.9999882,0.12873198,0,0.962685
201,Pass,0,0.9999957,0.09831208,0,0.972114
202,Pass,0,0.999997,0.14650546,0,0.95718855
203,Pass,0,0.9999894,0.107881956,0,0.96914387
204,Pass,0,1.0,0.07721741,0,0.9786518
205,Pass,0,0.9999864,0.057181045,0,0.9848442
206,Pass,0,0.99999976,0.042939845,0,0.98926824
207,Pass,0,0.9999434,0.1309754,0,0.961947
208,Pass,0,0.99980026,0.12653519,0,0.96318436
209,Pass,0,0.9990963,0.2742406,0,0.9167991
210,Pass,0,0.9999155,0.22540674,0,0.9326747
211,Pass,0,0.9999081,0.14696118,0,0.9569623
212,Pass,0,0.9996935,0.23927002,0,0.9281752
213,Pass,0,0.99983215,0.05869913,0,0.9842222
214,Pass,0,0.99948126,0.21082132,0,0.93678486
215,Pass,0,0.99997556,0.12676801,0,0.9632811
216,Pass,0,0.99411535,0.2455202,0,0.92107165
217,Pass,0,0.99977225,0.065141514,0,0.98216826
218,Pass,0,0.99974674,0.05929297,0,0.9839542
219,Pass,0,0.99998856,0.09179741,0,0.97412485
220,Pass,0,0.9992743,0.051524147,0,0.9858937
221,Pass,0,0.9997292,0.19857514,0,0.94080925
222,Pass,0,0.9999877,0.027269237,0,0.99410987
223,Pass,0,0.99791497,0.19738434,0,0.93947
224,Pass,0,0.999826,0.15667018,0,0.95387715
225,Pass,0,0.9999958,0.06467862,0,0.9825313
226,Pass,0,0.9999734,0.19684367,0,0.9415753
227,Pass,0,0.9979849,0.29151893,0,0.91043854
228,Pass,0,0.99974865,0.08127599,0,0.97714907
229,Pass,0,0.9998565,0.24194011,0,0.9274996
230,Pass,0,0.9950832,0.0448555,0,0.98381406
231,Pass,0,0.995369,0.054245632,0,0.9812017
232,Pass,0,0.99998665,0.14265642,0,0.95837075
233,Pass,0,0.9998791,0.062263496,0,0.98316455
234,Pass,0,0.46153793,0.87367207,0,0.33783117
235,Pass,0,0.99999833,0.09732844,0,0.9724213
236,Pass,0,0.9742983,0.30700785,0,0.88415575
