model,test_set,selection_metric,budget,mse
dave2v1,udacity,rnd,50,0.048976607620716095
dave2v1,udacity,rnd,100,0.03922785446047783
dave2v1,udacity,rnd,150,0.037739478051662445
dave2v1,udacity,rnd,200,0.043269265443086624
dave2v1,udacity,ent,50,0.07662046700716019
dave2v1,udacity,ent,100,0.06884580105543137
dave2v1,udacity,ent,150,0.0662306621670723
dave2v1,udacity,ent,200,0.06930261105298996
dave2v1,udacity,gini,50,0.012198526412248611
dave2v1,udacity,gini,100,0.012541808187961578
dave2v1,udacity,gini,150,0.011239010840654373
dave2v1,udacity,gini,200,0.009536266326904297
dave2v1,udacity,gd,50,0.026933293789625168
dave2v1,udacity,gd,100,0.04179982841014862
dave2v1,udacity,gd,150,0.03915970027446747
dave2v1,udacity,gd,200,0.042705126106739044
dave2v1,udacity,kmnc,50,0.11749216169118881
dave2v1,udacity,kmnc,100,0.11733729392290115
dave2v1,udacity,kmnc,150,0.11266355216503143
dave2v1,udacity,kmnc,200,0.09676878154277802
dave2v1,udacity,nac,50,0.0906314104795456
dave2v1,udacity,nac,100,0.11290746927261353
dave2v1,udacity,nac,150,0.09971116483211517
dave2v1,udacity,nac,200,0.09616534411907196
dave2v1,udacity,rnd,50,0.03894592821598053
dave2v1,udacity,rnd,100,0.034102246165275574
dave2v1,udacity,rnd,150,0.037962656468153
dave2v1,udacity,rnd,200,0.02798309363424778
dave2v1,udacity,ent,50,0.07662046700716019
dave2v1,udacity,ent,100,0.06884580105543137
dave2v1,udacity,ent,150,0.0662306621670723
dave2v1,udacity,ent,200,0.06930261105298996
dave2v1,udacity,gini,50,0.012198526412248611
dave2v1,udacity,gini,100,0.012541808187961578
dave2v1,udacity,gini,150,0.011239010840654373
dave2v1,udacity,gini,200,0.009536266326904297
dave2v1,udacity,pace,50,0.021185968071222305
dave2v1,udacity,pace,100,0.013696632348001003
dave2v1,udacity,pace,150,0.01046784594655037
dave2v1,udacity,pace,200,0.008805588819086552
dave2v1,udacity,dr,50,0.020060431212186813
dave2v1,udacity,dr,100,0.02191152051091194
dave2v1,udacity,dr,150,0.024456460028886795
dave2v1,udacity,dr,200,0.03703140839934349
dave2v1,udacity,ces,50,0.22739583253860474
dave2v1,udacity,ces,100,0.18540546298027039
dave2v1,udacity,ces,150,0.14459353685379028
dave2v1,udacity,ces,200,0.12505589425563812
dave2v1,udacity,est,50,0.3056859076023102
dave2v1,udacity,est,100,0.19301483035087585
dave2v1,udacity,est,150,0.15704181790351868
dave2v1,udacity,est,200,0.1353239119052887
dave2v2,udacity,pace,50,0.0481070838868618
dave2v2,udacity,pace,100,0.04620189219713211
dave2v2,udacity,pace,150,0.03335690125823021
dave2v2,udacity,pace,200,0.0380169041454792
dave2v2,udacity,dr,50,0.3803829550743103
dave2v1,udacity,gd,50,0.043248943984508514
dave2v2,udacity,dr,100,0.20334742963314056
dave2v2,udacity,dr,150,0.15556158125400543
dave2v1,udacity,gd,100,0.05604854226112366
dave2v2,udacity,dr,200,0.13376528024673462
dave2v1,udacity,gd,150,0.047135334461927414
dave2v2,udacity,ces,50,0.3803829550743103
dave2v2,udacity,ces,100,0.20334742963314056
dave2v2,udacity,ces,150,0.15556158125400543
dave2v1,udacity,gd,200,0.04583735018968582
dave2v1,udacity,std,50,0.024142097681760788
dave2v1,udacity,std,100,0.03539411723613739
dave2v1,udacity,std,150,0.047982357442379
dave2v1,udacity,std,200,0.05403364077210426
dave2v2,udacity,ces,200,0.13376528024673462
dave2v2,udacity,rnd,50,0.04753325134515762
dave2v2,udacity,rnd,100,0.044650278985500336
dave2v2,udacity,rnd,150,0.05484987795352936
dave2v2,udacity,rnd,200,0.030275952070951462
dave2v2,udacity,est,50,0.3803829550743103
dave2v2,udacity,ent,50,0.3803829550743103
dave2v2,udacity,est,100,0.20334742963314056
dave2v2,udacity,ent,100,0.20334742963314056
dave2v2,udacity,est,150,0.15556158125400543
dave2v2,udacity,ent,150,0.15556158125400543
dave2v2,udacity,est,200,0.13376528024673462
dave2v2,udacity,ent,200,0.13376528024673462
dave2v3,udacity,pace,50,0.009471284225583076
dave2v3,udacity,pace,100,0.005722475703805685
dave2v2,udacity,gini,50,0.3803829550743103
dave2v3,udacity,pace,150,0.004236259497702122
dave2v3,udacity,pace,200,0.003891581203788519
dave2v2,udacity,gini,100,0.20334742963314056
dave2v3,udacity,dr,50,0.04169051721692085
dave2v2,udacity,gini,150,0.15556158125400543
dave2v3,udacity,dr,100,0.08691419661045074
dave2v2,udacity,gini,200,0.13376528024673462
