model,test_set,selection_metric,budget,acc,acc_hat,failures,rmse,retrain_acc,acc_improvement
lenet1,mnist,dat,50,0.9486,0.98,1,0.031399999999999983,0.9849246231155779,0.03648241206030156
lenet1,mnist,dat,100,0.9486,0.98,2,0.031399999999999983,0.9871717171717171,0.03888888888888886
lenet1,mnist,dat,150,0.9486,0.98,3,0.031399999999999983,0.9870063952898183,0.03887930159374675
lenet1,mnist,dat,200,0.9486,0.965,7,0.01639999999999997,0.9875522905825936,0.03928170594837266
lenet4,mnist,dat,50,0.9679,0.96,2,0.007900000000000018,0.9880402010050251,0.02010050251256279
lenet4,mnist,dat,100,0.9679,0.96,4,0.007900000000000018,0.9885858585858586,0.020606060606060628
lenet4,mnist,dat,150,0.9679,0.98,3,0.0121,0.9885279187817259,0.020812182741116736
lenet4,mnist,dat,200,0.9679,0.955,9,0.012900000000000023,0.9886734693877551,0.020510204081632732
lenet5,mnist,dat,50,0.9868,0.98,1,0.006800000000000028,0.9901507537688442,0.0033165829145728187
lenet5,mnist,dat,100,0.9868,0.99,1,0.0031999999999999806,0.99,0.003232323232323253
lenet5,mnist,dat,150,0.9868,1.0,0,0.01319999999999999,0.9916751269035533,0.005076142131979711
lenet5,mnist,dat,200,0.9868,0.995,1,0.008199999999999985,0.993265306122449,0.006632653061224514
lenet5,mnist_c,dat,50,0.9207,0.82,9,0.10070000000000001,0.9190954773869346,-0.002110552763819107
lenet5,mnist_c,dat,100,0.9207,0.79,21,0.13069999999999993,0.9362626262626262,0.014242424242424168
lenet5,mnist_c,dat,150,0.9207,0.78,33,0.14069999999999994,0.9469035532994924,0.02406091370558372
lenet5,mnist_c,dat,200,0.9207,0.81,38,0.11069999999999991,0.9407142857142857,0.017755102040816317
