Number of Clusters,Silhouette Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,Config,test_set,selection_metric,budget,model,DBCV Score
-1,-1.0,-1.0,1,-1,-1.0,mnist,dr,50,lenet1,
0,-1.0,-1.0,5,5,,mnist,dr,100,lenet1,-1.0
3,0.10829021781682968,,10,1,,mnist,dr,150,lenet1,
3,0.08736173808574677,0.04933709584055224,16,2,,mnist,dr,200,lenet1,0.011312453595357725
-1,-1.0,-1.0,0,-1,-1.0,mnist,ces,50,lenet1,
-1,-1.0,-1.0,2,-1,-1.0,mnist,ces,100,lenet1,
2,0.13289014995098114,0.07427738789555825,7,0,,mnist,ces,150,lenet1,0.01566462584013537
5,0.1313389539718628,0.14035740429236,18,2,,mnist,ces,200,lenet1,0.14937585461285718
8,0.23318588733673096,0.19863845843322325,24,5,,mnist,mcp,50,lenet1,0.16409102952971558
14,0.25864481925964355,0.1759939278915329,46,7,,mnist,mcp,100,lenet1,0.09334303652342225
8,0.12163503468036652,0.08903618582699291,71,3,,mnist,mcp,150,lenet1,0.05643733697361929
18,0.2243228554725647,0.1930958633226463,88,10,,mnist,mcp,200,lenet1,0.1618688711727279
4,0.1945333480834961,0.25438159696775703,14,3,,mnist,est,50,lenet1,0.31422984585201796
10,0.2784128785133362,0.19940970319235463,39,6,,mnist,est,100,lenet1,0.12040652787137307
7,0.20406270027160645,0.13054437899685742,38,5,,mnist,est,150,lenet1,0.05702605772210839
7,0.12873174250125885,0.07215631494417732,61,6,,mnist,est,200,lenet1,0.015580887387095796
-1,-1.0,-1.0,2,-1,-1.0,mnist,rnd,50,lenet1,
0,-1.0,-1.0,6,6,,mnist,rnd,100,lenet1,-1.0
3,0.24895797669887543,0.1889632522356412,9,2,,mnist,rnd,150,lenet1,0.12896852777240694
3,0.17892125248908997,0.2846865789863319,10,3,,mnist,rnd,200,lenet1,0.3904519054835738
8,0.19914276897907257,0.14343443281616752,29,6,,mnist,ent,50,lenet1,0.08772609665326246
9,0.22942423820495605,0.17763282762472787,55,3,,mnist,ent,100,lenet1,0.12584141704449966
16,0.29586583375930786,0.25016502944036006,79,9,,mnist,ent,150,lenet1,0.20446422512141227
16,0.24849410355091095,0.23476616823677,94,6,,mnist,ent,200,lenet1,0.22103823292262903
5,0.10161799937486649,,33,1,,mnist,gini,50,lenet1,
14,0.3109920620918274,0.23017863227338867,56,0,,mnist,gini,100,lenet1,0.14936520245494994
14,0.2596808075904846,0.1934625581230412,80,9,,mnist,gini,150,lenet1,0.12724430865559774
18,0.28875574469566345,0.21378296902318694,106,9,,mnist,gini,200,lenet1,0.13881019335071046
-1,-1.0,-1.0,1,-1,-1.0,mnist,dat,50,lenet1,
-1,-1.0,-1.0,2,-1,-1.0,mnist,dat,100,lenet1,
0,-1.0,-1.0,3,3,,mnist,dat,150,lenet1,-1.0
2,0.029875749722123146,0.236259811200143,7,2,,mnist,dat,200,lenet1,0.44264387267816285
1,0.667550265789032,,4,1,,mnist,gd,50,lenet1,
0,-1.0,-1.0,5,5,,mnist,gd,100,lenet1,-1.0
4,0.1457923799753189,0.09602593409401677,11,0,,mnist,gd,150,lenet1,0.04625948821271463
2,0.012340085580945015,0.17013514559793236,8,2,,mnist,gd,200,lenet1,0.3279302056149197
-1,-1.0,-1.0,0,-1,-1.0,mnist,kmnc,50,lenet1,
0,-1.0,-1.0,3,3,,mnist,kmnc,100,lenet1,-1.0
2,0.13724763691425323,0.07134151055819195,5,0,,mnist,kmnc,150,lenet1,0.005435384202130673
2,0.09735310822725296,0.023724929512714772,7,0,,mnist,kmnc,200,lenet1,-0.049903249201823416
-1,-1.0,-1.0,1,-1,-1.0,mnist,nac,50,lenet1,
1,0.12715411186218262,0.3280713925193508,4,2,,mnist,nac,100,lenet1,0.528988673176519
2,0.1875106692314148,0.112288796233883,6,0,,mnist,nac,150,lenet1,0.037066923236351225
2,0.2695922553539276,0.15628349013916726,9,0,,mnist,nac,200,lenet1,0.04297472492440692
0,-1.0,-1.0,3,3,,mnist,lsa,50,lenet1,-1.0
0,-1.0,-1.0,4,4,,mnist,lsa,100,lenet1,-1.0
2,0.04459231346845627,,7,1,,mnist,lsa,150,lenet1,
2,0.07131615281105042,0.03655001970385666,11,2,,mnist,lsa,200,lenet1,0.0017838865966628918
5,0.2618069052696228,,21,1,,mnist,dsa,50,lenet1,
7,0.3119679093360901,0.17221717411786938,35,7,,mnist,dsa,100,lenet1,0.032466438899648696
10,0.2597023844718933,0.18215959180961117,55,8,,mnist,dsa,150,lenet1,0.10461679914732899
8,0.1672702580690384,,70,1,,mnist,dsa,200,lenet1,
0,-1.0,-1.0,4,4,,mnist,std,50,lenet1,-1.0
0,-1.0,-1.0,5,5,,mnist,std,100,lenet1,-1.0
1,0.03876769542694092,,5,1,,mnist,std,150,lenet1,
1,-1.0,-1.0,5,0,,mnist,std,200,lenet1,-1.0
-1,-1.0,-1.0,2,-1,-1.0,mnist,pace,50,lenet1,
0,-1.0,-1.0,3,3,,mnist,pace,100,lenet1,-1.0
2,0.1716327667236328,0.08221465421144117,8,3,,mnist,pace,150,lenet1,-0.00720345830075048
2,0.14483360946178436,0.09336768560458948,8,3,,mnist,pace,200,lenet1,0.0419017617473946
