Number of Clusters,Silhouette Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,Config,test_set,selection_metric,budget,model,threshold,DBCV Score
-1,-1.0,-1.0,1,-1,-1.0,udacity_C,dr,50,epoch,0.349,
-1,-1.0,-1.0,2,-1,-1.0,udacity_C,dr,100,epoch,0.349,
-1,-1.0,-1.0,2,-1,-1.0,udacity_C,dr,150,epoch,0.349,
0,-1.0,-1.0,3,3,,udacity_C,dr,200,epoch,0.349,-1.0
3,0.13676884770393372,,8,1,,udacity_C,ces,50,epoch,0.349,
7,0.24030661582946777,0.18336304428554923,18,3,,udacity_C,ces,100,epoch,0.349,0.1264194727416307
6,0.18073999881744385,0.1491692103245747,23,8,,udacity_C,ces,150,epoch,0.349,0.11759842183170553
10,0.23475868999958038,,31,1,,udacity_C,ces,200,epoch,0.349,
1,0.06652690470218658,0.016103848148632798,6,4,,udacity_C,est,50,epoch,0.349,-0.03431920840492099
2,0.07979998737573624,,6,1,,udacity_C,est,100,epoch,0.349,
4,0.2106047421693802,0.29163435116465664,15,4,,udacity_C,est,150,epoch,0.349,0.372663960159933
2,0.07816601544618607,0.2824740296699712,7,3,,udacity_C,est,200,epoch,0.349,0.48678204389375634
-1,-1.0,-1.0,2,-1,-1.0,udacity_C,rnd,50,epoch,0.349,
0,-1.0,-1.0,3,3,,udacity_C,rnd,100,epoch,0.349,-1.0
2,0.07683070003986359,0.06487387113728818,8,4,,udacity_C,rnd,150,epoch,0.349,0.052917042234712774
2,0.13806645572185516,0.0684660054430886,13,2,,udacity_C,rnd,200,epoch,0.349,-0.0011344448356779557
3,0.22054195404052734,0.13637628312799116,7,0,,udacity_C,ent,50,epoch,0.349,0.052210612215454956
3,0.1802700161933899,0.12509130441097868,12,6,,udacity_C,ent,100,epoch,0.349,0.06991259262856746
7,0.2564234137535095,0.3275269385573942,23,4,,udacity_C,ent,150,epoch,0.349,0.39863046336127883
8,0.31538641452789307,0.2695620814237613,33,5,,udacity_C,ent,200,epoch,0.349,0.22373774831962956
1,0.19611799716949463,0.10262261099306305,4,2,,udacity_C,gini,50,epoch,0.349,0.009127224816631477
2,0.0664960965514183,0.2927196445207215,7,3,,udacity_C,gini,100,epoch,0.349,0.5189431924900247
2,0.19159701466560364,0.11974769364877816,8,3,,udacity_C,gini,150,epoch,0.349,0.04789837263195269
1,0.05659664049744606,-0.004927812063444108,8,4,,udacity_C,gini,200,epoch,0.349,-0.06645226462433428
-1,-1.0,-1.0,2,-1,-1.0,udacity_C,gd,50,epoch,0.349,
1,0.6928791999816895,,6,1,,udacity_C,gd,100,epoch,0.349,
2,0.10909456014633179,0.053888840356827485,8,4,,udacity_C,gd,150,epoch,0.349,-0.001316879432676818
3,0.2145048826932907,0.15908385403671615,15,6,,udacity_C,gd,200,epoch,0.349,0.10366282538014157
0,-1.0,-1.0,5,5,,udacity_C,kmnc,50,epoch,0.349,-1.0
5,0.16939258575439453,0.14333085055824957,15,4,,udacity_C,kmnc,100,epoch,0.349,0.11726911536210458
8,0.25218525528907776,0.28834671771240666,21,3,,udacity_C,kmnc,150,epoch,0.349,0.32450818013573557
5,0.1652745008468628,0.18944270609210379,28,2,,udacity_C,kmnc,200,epoch,0.349,0.21361091133734478
6,0.25964516401290894,0.19930359161024383,16,0,,udacity_C,nac,50,epoch,0.349,0.13896201920757872
7,0.2880131006240845,0.2137086978200682,38,0,,udacity_C,nac,100,epoch,0.349,0.13940429501605195
13,0.2603875398635864,0.2124048478588621,51,13,,udacity_C,nac,150,epoch,0.349,0.1644221558541378
15,0.2750546336174011,0.22500786025417113,62,7,,udacity_C,nac,200,epoch,0.349,0.17496108689094111
3,0.11823157221078873,0.08257008961240622,10,4,,udacity_C,lsa,50,epoch,0.349,0.04690860701402371
