Number of Clusters,Silhouette Score,DBCV Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,test_set,selection_metric,budget,model,threshold
10,0.3155256509780884,0.15517044269365735,0.23534804683587285,50,6,udacity_label,dr,50,epoch,0.0
11,0.11172452569007874,-0.00947493981031401,0.05112479293988236,100,8,udacity_label,dr,100,epoch,0.0
24,0.2907082140445709,0.12090659378039725,0.2058074039124841,150,8,udacity_label,dr,150,epoch,0.0
22,0.2740216553211212,0.1121012953320621,0.19306147532659165,200,5,udacity_label,dr,200,epoch,0.0
15,0.29938244819641113,0.11020109302798611,0.2047917706121986,50,8,udacity_label,ces,50,epoch,0.0
24,0.3689888119697571,0.21163930924268293,0.29031406060622,100,14,udacity_label,ces,100,epoch,0.0
35,0.42628753185272217,0.31562071738232883,0.3709541246175255,150,17,udacity_label,ces,150,epoch,0.0
38,0.44401541352272034,0.31509201377923185,0.3795537136509761,200,17,udacity_label,ces,200,epoch,0.0
13,0.2946559190750122,0.21130023021146463,0.2529780746432384,50,6,udacity_label,est,50,epoch,0.0
17,0.30219435691833496,0.20707770163538136,0.25463602927685813,100,7,udacity_label,est,100,epoch,0.0
23,0.38815394043922424,0.29388599820793526,0.34101996932357975,150,10,udacity_label,est,150,epoch,0.0
31,0.5176727771759033,0.4276073534061456,0.4726400652910244,200,7,udacity_label,est,200,epoch,0.0
8,0.11836318671703339,0.0933209514762924,0.10584206909666288,50,2,udacity_label,rnd,50,epoch,0.0
29,0.3921239972114563,0.3254451824151877,0.358784589813322,100,13,udacity_label,rnd,100,epoch,0.0
33,0.4024338126182556,0.28907368170146536,0.3457537471598605,150,17,udacity_label,rnd,150,epoch,0.0
33,0.43060028553009033,0.28270637214270355,0.35665332883639694,200,5,udacity_label,rnd,200,epoch,0.0
8,0.44977229833602905,0.336987039264471,0.39337966880025,50,8,udacity_label,ent,50,epoch,0.0
16,0.5734350681304932,0.5332764666645424,0.5533557673975178,100,5,udacity_label,ent,100,epoch,0.0
16,0.688730776309967,0.5566901469780453,0.6227104616440062,150,4,udacity_label,ent,150,epoch,0.0
24,0.6986314654350281,0.6539850012451767,0.6763082333401024,200,6,udacity_label,ent,200,epoch,0.0
13,0.22549690306186676,0.1487376356857803,0.18711726937382353,50,5,udacity_label,gini,50,epoch,0.0
17,0.43238648772239685,0.3194345944021452,0.37591054106227106,100,12,udacity_label,gini,100,epoch,0.0
26,0.439741313457489,0.33682347397206025,0.38828239371477463,150,9,udacity_label,gini,150,epoch,0.0
27,0.5702752470970154,0.4492633430370304,0.509769295067023,200,3,udacity_label,gini,200,epoch,0.0
12,0.2763758897781372,0.168148429532283,0.22226215965521012,50,4,udacity_label,gd,50,epoch,0.0
15,0.3063957095146179,0.1322008020224941,0.219298255768556,100,5,udacity_label,gd,100,epoch,0.0
26,0.34602004289627075,0.20313927756787792,0.27457966023207436,150,13,udacity_label,gd,150,epoch,0.0
44,0.43431034684181213,0.3074487668327099,0.37087955683726104,200,23,udacity_label,gd,200,epoch,0.0
13,0.2276424914598465,0.31830284296661127,0.2729726672132289,50,7,udacity_label,kmnc,50,epoch,0.0
14,0.353201299905777,0.19492012464968775,0.2740607122777324,100,13,udacity_label,kmnc,100,epoch,0.0
19,0.4344275891780853,0.2869523945181131,0.36068999184809925,150,10,udacity_label,kmnc,150,epoch,0.0
24,0.42359787225723267,0.30648328542010045,0.3650405788386666,200,7,udacity_label,kmnc,200,epoch,0.0
12,0.3555504083633423,0.2736710789139081,0.3146107436386252,50,3,udacity_label,nac,50,epoch,0.0
18,0.5135530829429626,0.44031284107599405,0.4769329620094783,100,9,udacity_label,nac,100,epoch,0.0
22,0.5304514765739441,0.3653516413724383,0.44790155897319117,150,9,udacity_label,nac,150,epoch,0.0
36,0.5186394453048706,0.3847840326412496,0.4517117389730601,200,12,udacity_label,nac,200,epoch,0.0
13,0.2186228632926941,0.13249770663993682,0.17556028496631546,50,5,udacity_label,lsa,50,epoch,0.0
28,0.3855513334274292,0.2757877173549131,0.3306695253911711,100,8,udacity_label,lsa,100,epoch,0.0
33,0.4126555025577545,0.3010003913189493,0.3568279469383519,150,10,udacity_label,lsa,150,epoch,0.0
16,0.2668693959712982,0.2055847593985988,0.2362270776849485,200,4,udacity_label,lsa,200,epoch,0.0
15,0.2680162787437439,0.12724465066948426,0.19763046470661408,50,9,udacity_label,std,50,epoch,0.0
22,0.30468153953552246,0.1907198442365099,0.24770069188601618,100,11,udacity_label,std,100,epoch,0.0
21,0.35462623834609985,0.20536512757720057,0.2799956829616502,150,4,udacity_label,std,150,epoch,0.0
28,0.5000057220458984,0.31852306903595756,0.40926439554092797,200,12,udacity_label,std,200,epoch,0.0
16,0.26767197251319885,0.16595921418275944,0.21681559334797915,50,9,udacity_label,pace,50,epoch,0.0
23,0.383451908826828,0.2827784362282232,0.3331151725275256,100,7,udacity_label,pace,100,epoch,0.0
21,0.29146644473075867,0.1932217662636084,0.24234410549718355,150,4,udacity_label,pace,150,epoch,0.0
28,0.37238866090774536,0.22026488654524706,0.2963267737264962,200,9,udacity_label,pace,200,epoch,0.0
12,0.2982415556907654,0.15324622804515273,0.22574389186795907,41,4,udacity_label,dr,50,epoch,0.044
18,0.31995725631713867,0.2069087634844841,0.26343300990081137,80,7,udacity_label,dr,100,epoch,0.044
11,0.14329253137111664,0.08741500124521143,0.11535376630816403,113,6,udacity_label,dr,150,epoch,0.044
38,0.39572882652282715,0.2651640411170295,0.33044643381992833,149,12,udacity_label,dr,200,epoch,0.044
13,0.44224777817726135,0.27844563167384145,0.36034670492555143,40,2,udacity_label,ces,50,epoch,0.044
11,0.37678998708724976,0.16992522313340777,0.27335760511032875,84,5,udacity_label,ces,100,epoch,0.044
30,0.5093237161636353,0.43514718903965566,0.47223545260164546,133,9,udacity_label,ces,150,epoch,0.044
18,0.4471750259399414,0.3299265375797772,0.3885507817598593,160,5,udacity_label,ces,200,epoch,0.044
7,0.30205950140953064,0.17693523441028158,0.2394973679099061,37,2,udacity_label,est,50,epoch,0.044
16,0.3171788156032562,0.19354052506325106,0.25535967033325363,71,11,udacity_label,est,100,epoch,0.044
17,0.31772226095199585,0.2675534664109682,0.29263786368148204,123,4,udacity_label,est,150,epoch,0.044
29,0.5062859654426575,0.39239011751841035,0.4493380414805339,162,11,udacity_label,est,200,epoch,0.044
7,0.19249774515628815,0.2573550544990221,0.2249263998276551,35,3,udacity_label,rnd,50,epoch,0.044
16,0.37418586015701294,0.21223502741027095,0.2932104437836419,83,3,udacity_label,rnd,100,epoch,0.044
21,0.42424237728118896,0.352482780534201,0.388362578907695,127,3,udacity_label,rnd,150,epoch,0.044
36,0.4736715257167816,0.3573674049253256,0.4155194653210536,162,11,udacity_label,rnd,200,epoch,0.044
10,0.36396244168281555,0.16634839494111964,0.2651554183119676,45,4,udacity_label,ent,50,epoch,0.044
12,0.6703186631202698,0.6360774214347877,0.6531980422775288,90,2,udacity_label,ent,100,epoch,0.044
23,0.42141053080558777,0.36919692180349034,0.395303726304539,140,8,udacity_label,ent,150,epoch,0.044
23,0.6536524295806885,0.647897654787091,0.6507750421838898,180,13,udacity_label,ent,200,epoch,0.044
6,0.542316198348999,0.41363532771314393,0.4779757630310715,36,0,udacity_label,gini,50,epoch,0.044
17,0.22796273231506348,0.14474209518050468,0.18635241374778408,74,11,udacity_label,gini,100,epoch,0.044
15,0.5153767466545105,0.3916172033877782,0.4534969750211444,109,5,udacity_label,gini,150,epoch,0.044
19,0.6386563777923584,0.5135698426496484,0.5761131102210034,143,4,udacity_label,gini,200,epoch,0.044
13,0.2440500259399414,0.1537662865846924,0.1989081562623169,44,7,udacity_label,gd,50,epoch,0.044
17,0.2785591781139374,0.13874640073877775,0.20865278942635757,76,12,udacity_label,gd,100,epoch,0.044
24,0.34884127974510193,0.18995159710512383,0.26939643842511285,129,11,udacity_label,gd,150,epoch,0.044
35,0.4297386407852173,0.40944011146979764,0.41958937612750746,151,13,udacity_label,gd,200,epoch,0.044
11,0.2365380823612213,0.30922251566629544,0.2728802990137584,37,5,udacity_label,kmnc,50,epoch,0.044
13,0.29480329155921936,0.2661100271458891,0.28045665935255426,78,4,udacity_label,kmnc,100,epoch,0.044
27,0.345994770526886,0.17787131161705994,0.26193304107197296,111,13,udacity_label,kmnc,150,epoch,0.044
28,0.31332460045814514,0.17935065484462615,0.24633762765138564,147,26,udacity_label,kmnc,200,epoch,0.044
9,0.5929903388023376,,,47,1,udacity_label,nac,50,epoch,0.044
16,0.5652660727500916,0.5728699315341365,0.569068002142114,93,6,udacity_label,nac,100,epoch,0.044
26,0.40555518865585327,0.28834906161861373,0.3469521251372335,143,12,udacity_label,nac,150,epoch,0.044
25,0.6343316435813904,0.4822229974864156,0.558277320533903,193,2,udacity_label,nac,200,epoch,0.044
12,0.23064638674259186,0.25259191494836364,0.24161915084547775,41,4,udacity_label,lsa,50,epoch,0.044
19,0.3579504191875458,0.22055903159410548,0.28925472539082564,78,7,udacity_label,lsa,100,epoch,0.044
26,0.38944435119628906,0.2760847190444006,0.3327645351203448,112,10,udacity_label,lsa,150,epoch,0.044
33,0.42585423588752747,0.3874276691531357,0.4066409525203316,152,10,udacity_label,lsa,200,epoch,0.044
12,0.3135453760623932,0.19186425451579336,0.2527048152890933,42,8,udacity_label,std,50,epoch,0.044
20,0.3382972776889801,0.2811347594368869,0.3097160185629335,78,4,udacity_label,std,100,epoch,0.044
26,0.4329187870025635,0.3582776092406385,0.395598198121601,114,12,udacity_label,std,150,epoch,0.044
25,0.47059860825538635,0.2836780287845791,0.3771383185199827,160,7,udacity_label,std,200,epoch,0.044
11,0.2946528196334839,,,37,1,udacity_label,pace,50,epoch,0.044
11,0.15836988389492035,0.1351248084088991,0.1467473461519097,80,5,udacity_label,pace,100,epoch,0.044
23,0.30822646617889404,0.2957638849735971,0.30199517557624556,117,4,udacity_label,pace,150,epoch,0.044
33,0.4299512803554535,0.3360246021455782,0.38298794125051583,151,12,udacity_label,pace,200,epoch,0.044
10,0.2786150276660919,0.23337388227954042,0.25599445497281614,31,2,udacity_label,dr,50,epoch,0.087
17,0.33792808651924133,0.2039997346925979,0.2709639106059196,65,9,udacity_label,dr,100,epoch,0.087
15,0.26209717988967896,0.15068931168608096,0.20639324578787996,86,5,udacity_label,dr,150,epoch,0.087
26,0.3829329311847687,0.2972009745710014,0.340066952877885,112,12,udacity_label,dr,200,epoch,0.087
10,0.2846125364303589,0.3072434562612318,0.29592799634579536,34,4,udacity_label,ces,50,epoch,0.087
12,0.4200703799724579,0.37256721575019913,0.3963187978613285,65,5,udacity_label,ces,100,epoch,0.087
19,0.48032256960868835,0.33314732737957886,0.4067349484941336,100,12,udacity_label,ces,150,epoch,0.087
21,0.45277243852615356,0.31655961569070673,0.3846660271084301,125,3,udacity_label,ces,200,epoch,0.087
5,0.21496973931789398,,,26,1,udacity_label,est,50,epoch,0.087
16,0.3872731328010559,0.2755140032479912,0.3313935680245236,55,10,udacity_label,est,100,epoch,0.087
17,0.3083854913711548,0.22661310258302864,0.26749929697709174,93,4,udacity_label,est,150,epoch,0.087
11,0.3092881441116333,0.30372619804739603,0.30650717107951464,138,4,udacity_label,est,200,epoch,0.087
9,0.1992594301700592,0.2141294899370996,0.2066944600535794,32,4,udacity_label,rnd,50,epoch,0.087
21,0.31706103682518005,0.21931003239696154,0.2681855346110708,70,13,udacity_label,rnd,100,epoch,0.087
18,0.4590426981449127,0.39730700620870224,0.4281748521768075,97,6,udacity_label,rnd,150,epoch,0.087
29,0.38212305307388306,0.27604809193046853,0.3290855725021758,130,18,udacity_label,rnd,200,epoch,0.087
7,0.5092138051986694,0.36554608526023,0.43737994522944973,40,3,udacity_label,ent,50,epoch,0.087
16,0.4594782292842865,0.4552425226839121,0.4573603759840993,80,8,udacity_label,ent,100,epoch,0.087
20,0.45958444476127625,0.364786812091035,0.4121856284261556,118,7,udacity_label,ent,150,epoch,0.087
20,0.5745453238487244,0.669445141874677,0.6219952328617007,149,9,udacity_label,ent,200,epoch,0.087
8,0.3155643939971924,0.17083086202590156,0.24319762801154698,32,2,udacity_label,gini,50,epoch,0.087
8,0.5382858514785767,0.4644904543964977,0.5013881529375372,64,7,udacity_label,gini,100,epoch,0.087
17,0.3250298500061035,0.2887554794172933,0.3068926647116984,90,8,udacity_label,gini,150,epoch,0.087
18,0.5837725400924683,0.4025725715869454,0.49317255583970687,116,4,udacity_label,gini,200,epoch,0.087
8,0.32487162947654724,0.1428835093180238,0.23387756939728552,36,4,udacity_label,gd,50,epoch,0.087
15,0.3460957407951355,0.26725651315867627,0.3066761269769059,63,3,udacity_label,gd,100,epoch,0.087
20,0.34634897112846375,0.2757091516657832,0.3110290613971235,101,10,udacity_label,gd,150,epoch,0.087
32,0.41142627596855164,0.35230591819828544,0.38186609708341857,116,16,udacity_label,gd,200,epoch,0.087
5,0.1855635941028595,,,29,1,udacity_label,kmnc,50,epoch,0.087
10,0.30608615279197693,0.17544291023867115,0.24076453151532404,55,7,udacity_label,kmnc,100,epoch,0.087
16,0.4559367895126343,0.3871251804807422,0.42153098499668823,83,4,udacity_label,kmnc,150,epoch,0.087
24,0.2713899314403534,0.1954737850102694,0.2334318582253114,114,22,udacity_label,kmnc,200,epoch,0.087
9,0.4197121560573578,0.31561843090151975,0.36766529347943877,34,2,udacity_label,nac,50,epoch,0.087
13,0.45834463834762573,0.35970980264106994,0.4090272204943478,74,8,udacity_label,nac,100,epoch,0.087
19,0.3031716048717499,0.17238457652585656,0.23777809069880324,119,20,udacity_label,nac,150,epoch,0.087
29,0.46938711404800415,0.3087887292634195,0.3890879216557118,163,15,udacity_label,nac,200,epoch,0.087
8,0.25887489318847656,0.13719711209316643,0.1980360026408215,33,3,udacity_label,lsa,50,epoch,0.087
